video_id,channel_Name,video_title,publishedTime,views,likes,comments,category
t5OKlU0icRs,Warner Music India,I'm Done. | Maan Panu | I-Popstar Season 1 | Episode 2,2025-10-27 14:30:44+00:00,436118,25557,601,10
3wNk0Vih7C4,ashish chanchlani vines,Ekaki Official Trailer | Ashish Chanchlani | ACV Studios | Releasing on 27th November,2025-10-27 08:34:07+00:00,7374010,764960,45889,23
eJ6obmi_fZ0,Carry Depie,Doorbin Got Trolled On His Birthday in Minecraft..,2025-10-28 10:02:21+00:00,458137,8823,1260,20
H63yrNZZpjY,Vansh Records,Payal Ki Khanak | Official Video | Hindi New Song | Anil Rawat | Kajal | Mohit Love | Bhaigiri Music,2025-10-27 06:34:48+00:00,193302,563,15,10
Qm-wNxOcEL4,Sithara Entertainments,"Mass Jathara - TRAILER | Ravi Teja, Sreeleela | Bhanu Bhogavarapu | Bheems Ceciroleo | S Naga Vamsi",2025-10-27 14:36:30+00:00,5612455,148392,5630,24
VixDNruvWV0,ANVI GAMING,AAO GRANNY KHELE || GRANNY LIVE HORROR GAMEPLAY VIDEO #1 #granny #shorts #shortslive #horrorgame,2025-10-28 11:39:52+00:00,621406,9017,10,20
6JDqdta5Zs0,SRLoFiVEVO,SR LoFi - Lal Dupatta Ud Gaya Re Tere Hawa Ke Jhonke Se | full HD video song |Mujhse Shaadi Karogi,2025-10-27 21:47:36+00:00,260470,850,10,10
YPUV--sT2oQ,Junglee Pictures,"HAQ | Official Trailer | Yami Gautam Dhar, Emraan Hashmi | Suparn S Varma | In Cinemas 7th Nov",2025-10-27 14:23:34+00:00,10852470,44210,2977,1
_UBxgwKONi8,Sports Talks,India vs Australia 1st T20 Match 2025 | IND vs AUS Live Score | Live Cricket Match Today part 1,2025-10-27 06:26:22+00:00,1412092,11009,948,17
J3LkpLD_GAQ,Humble Music,Duniya (Official Video) - Sikandar X Gulab Sidhu | Punjabi Songs 2025,2025-10-27 04:30:16+00:00,1119839,61576,1355,10
m1Z6aiZC6v8,YOGI BOLTA HAI,Ekaki Trailer Review | Yogi Bolta Hai,2025-10-27 11:44:21+00:00,570760,31905,776,24
WGpGwygI4Os,ANZU SENPAI,Live Horror Game Granny #shortslive #granny #shorts #shortsfeed,2025-10-28 09:31:38+00:00,1368511,0,32,20
FPDKM5NidYM,Maa Amma Films Bhakti,#Video | #Pawan Singh | कवना कलमवाँ से लिखलऽ करमवाँ | #Priyanka Singh | Bhojpuri Chhath Geet 2025,2025-10-25 01:15:04+00:00,4732979,183486,21871,10
bMt5mNFcsT0,Saregama Tamil,Indian Penal Law (IPL) - Official Teaser | TTF Vasan | Kishore | Abhirami | Kushitha | Karunanithi,2025-10-24 03:54:00+00:00,1557011,134094,7117,10
a-ti4422nnQ,Teodorissimo - FunAnimation,Long Slide Game With Cow Elephant Gorilla Hippopotamus Tiger - 3d Animal Game - Funny 3d Animals,2025-10-27 15:11:18+00:00,790558,43201,864,24
dXadOReRKpE,Maurya Lokgeet,छठ पूजा व्रत गीत 2025 | काँच ही बांस के बहंगिया | Kiran Maurya Chhath Puja Vrat Geet - #video,2025-10-27 06:00:36+00:00,224144,711,24,10
MyotpcIcR2M,Filmi Indian,Ekaki Trailer REVIEW Ashish Chanchlani | Deeksha Sharma,2025-10-27 12:20:55+00:00,391837,19604,483,24
IC6I5oaYeG0,JONATHAN GAMING,HACKER OR WHAT! | JONATHAN IS BACK!! | BGMI!,2025-10-27 00:51:35+00:00,2182116,175224,535,20
hm-cYTDo5dA,Play DMF,MERA HUA (ARIJIT SINGH)- Ek Deewane Ki Deewaniyat | Harshvardhan Rane & Sonam Bajwa| Annkur | Sachin,2025-10-28 05:30:04+00:00,361343,16746,1223,10
22oYiWnAcKM,Baahubali Movie,"Baahubali - The Epic Release Trailer (Telugu) | Prabhas, Rana | SS Rajamouli | 31st October 2025",2025-10-24 16:00:06+00:00,3711768,158270,2405,1
dShzOTXnxqE,Techno Gamerz,I PLAYED GTA 6 FANMADES,2025-10-25 09:24:25+00:00,5855110,281393,28391,20
3MaKc6Yykc0,Tuna Records,#रंगदारी_गाना | राइफल से खुटा ठोकाला | #Tuntun_Yadav | Raifal Se khuta Thokala | Bhojpuri Video Song,2025-10-26 12:30:07+00:00,412077,4272,128,10
wfJVeASXC-g,Zeal Creations,ROI ROI BINALE TRAILER | ZUBEEN GARG | ACHURJYA | RAJESH BHUYAN | EYE CREATIONS | ZEAL CREATIONS |,2025-10-23 12:45:06+00:00,2191396,192070,15323,24
MivX8jsIt0c,ERIC is LIVE,#1 POSSIBLE ??? ONLY RUSH GAMEPLAY  UPDATE 4.0 | BGMI LIVE |#ericislive #bgmi #shorts #verticallive,2025-10-28 03:36:38+00:00,654265,10778,2,20
7I3uy9yESiQ,T-SERIES HARYANVI,"Barati - Ajay Hooda | Pooja Hooda | Pardeep , Peehu | New Haryanvi Song 2025 | T-Series Haryanvi",2025-10-28 05:28:19+00:00,828390,32526,3235,10
XgLlPN7oxwY,Geetha Arts ,The Girlfriend - Trailer [TELUGU] | Rashmika Mandanna | Dheekshith Shetty | Rahul Ravindran | Hesham,2025-10-25 06:36:03+00:00,3971319,34638,998,24
D_-_9Ph2jdY,Glex FF,LIVE 🔴 ROAD TO 1M 🔥 FREE FIRE LIVE 💀,2025-10-28 12:05:30+00:00,351542,2312,19,20
oRgq-Ak2DSc,Malu Nipanal Singer,"ಹೇ"" ಡ್ರೈವರ.. | Hey Driver Ni Nanna Lover | Malu Nipanal Singer | Trupti UK Singer  | Janapada Song",2025-10-26 03:29:27+00:00,652061,26447,1101,24
Ep6CSZIZNqo,aha videoIN,Chiranjeeva Movie Trailer | Raj Tarun | Kushitha Kallapu | Abhinaya Krishna | Premieres 7th Nov |Aha,2025-10-27 10:30:26+00:00,403896,7158,142,24
9erPHtAQpUU,ADMINO Gaming,SOLO 9 FINISHES! ❤️‍🔥| 17 FINISHES WWCD 💛| ADMINO GAMING |,2025-10-28 03:30:14+00:00,283352,33275,716,20
JgJoY1XZVpA,Ahiran Films,Video | राजा जी के तुरल | Arvind Akela Kallu | Shilpi Raj | Raja Ji Ke Tural | New Bhojpuri Gana,2025-10-27 01:15:02+00:00,99882,373,8,10
qfcysUGAZ5M,Night Shift Studios,Dies Irae - RELEASE TRAILER (Malayalam) | Pranav Mohanlal,2025-10-25 06:30:18+00:00,896014,30682,1104,1
7nu472fOLiI,LoLzZz Gaming,50K UC SCARL CRATE OPENING | ULTIMATE ROYALE RANK PUSH | BGMI LIVE,2025-10-27 21:10:00+00:00,767259,44217,84,20
